"Sub.Num"	"name"	"name_n"	"name_sd"	"vocalization"	"vocalization_n"	"vocalization_sd"
"6612"	0.143033977516736	3	0.0992466858213563	0.713956742571637	7	0.271596286514376
"7383"	0.769359018876572	6	0.174674742806458	0.805133588562769	7	0.198016199758308
"7409"	0.791793976429507	3	0.208863838166544	0.715667675698397	7	0.249886569061833
"7435"	0.646157284333703	7	0.408798890324861	0.641460220800375	5	0.275265500546113
"7462"	0.710933710989395	6	0.17504594423278	0.728490347097476	6	0.211622184957802
"7471"	0.764705882352941	2	0.232929292626157	0.524565951290089	4	0.206735739228811
"7505"	0.731440953033703	6	0.161595245729098	0.771320437342304	5	0.30428415808346
"7508"	0.753391472868217	4	0.304823970735254	0.708310596966059	7	0.24093844513428
"7549"	0.446969696969697	3	0.508366638479019	0.488510520487265	4	0.278127143824382
"7573"	0.568845087521417	4	0.296311395404274	0.64861436681462	7	0.26699347011947
"7633"	0.810969793322734	3	0.250364042487567	0.617689329726844	7	0.123860099685526
"7669"	0.622941603012338	5	0.19019954197655	0.821037845965141	7	0.277474667238698
"7693"	0.435560899387294	4	0.243582588342673	0.465106601800436	7	0.339731960669579
"7713"	0.688176969071278	5	0.324413793897462	0.493314434207418	6	0.393743813974995
"7732"	0.448590865820935	6	0.284324585132169	0.572408195253023	6	0.294168201501573
"7751"	0.6327616940193	5	0.170481281169869	0.791863104592282	3	0.255990746098378
"7771"	0.823863636363636	2	0.249094434281625	0.650750177394459	5	0.165624288055109
"7816"	0.730532876707107	4	0.18895775631095	0.428321910063583	4	0.111592142863759
"8081"	0.297297297297297	1	NA	0.644067796610169	1	NA
