"Sub.Num"	"FF"	"FF_n"	"FF_sd"	"name"	"name FN"	"name FN_n"	"name FN_sd"	"name NF"	"name NF_n"	"name NF_sd"	"name_n"	"name_sd"	"onomatopoeic word"	"onomatopoeic word_n"	"onomatopoeic word_sd"	"vocalization FN"	"vocalization FN_n"	"vocalization FN_sd"	"vocalization NF"	"vocalization NF_n"	"vocalization NF_sd"
"6612"	0.755294632524544	6	0.192532229476365	0.360171351744385	0.259575930524142	4	0.306913844304772	0.202236981627334	4	0.0715657356743706	4	0.352970193836381	0.250265646945159	8	0.207517348797285	0.588921394571384	6	0.202522156496144	0.666215975438041	8	0.25480558072023
"7383"	0.703600704435357	7	0.325194226500703	0.818249150684667	0.952274482608577	6	0.0745673401661965	0.756825340873578	8	0.192915566687826	8	0.170259855909598	0.8177942509952	7	0.194786892102201	0.59599757473447	7	0.299517135631857	0.801429590637665	7	0.154636038955915
"7409"	0.669218245943473	7	0.279844868870117	0.653133672841026	0.333935675997618	5	0.128269964537989	0.78918932794623	6	0.141561035760671	8	0.22125613262891	0.577612016539933	6	0.13309884261052	0.640640161480305	7	0.208374182641289	0.646038914356512	8	0.214450331464891
"7435"	0.552714538906399	6	0.32099641582284	0.362944874055985	0.497884818322681	6	0.268898841886278	0.650344699017543	7	0.367693794300576	6	0.306562039857539	0.641682145505024	8	0.402832495371737	0.629169325942125	8	0.238635941413006	0.560094140143001	7	0.28602313329147
"7462"	0.801813641272257	5	0.202844025095709	0.823160031683066	0.619647442131881	4	0.33344883573673	0.734130747539949	6	0.156267418444821	4	0.146958658682716	0.689395539535142	8	0.174966302580371	0.8915374745944	7	0.170396541054143	0.726244239173194	6	0.252858237238609
"7471"	0.773377574208484	8	0.225452260105686	0.733266582105458	0.750054155791307	4	0.118078823258544	0.790917840004219	6	0.168310831727354	4	0.237287564020592	0.927459339994146	8	0.113505498173355	0.846176415046713	8	0.217901918664137	0.642236265002981	6	0.14685456180414
"7505"	0.502477572414501	6	0.358587640063539	0.706828235296366	0.833031249155246	4	0.12420066774608	0.703969396352474	6	0.169743459536584	4	0.247735804320409	0.649390126982623	7	0.424102971350668	0.564390992564367	4	0.393449989133236	0.751594669698118	5	0.313406754026951
"7508"	0.638585409431193	8	0.336937397348547	0.720065235690236	0.6294873260911	5	0.447351986414342	0.598340467671863	5	0.436783843537083	6	0.3882048301543	0.705396941703958	7	0.325971920565885	0.76815857565333	7	0.18722896810849	0.717308300337885	7	0.205130304327023
"7549"	0.637909474466307	8	0.400818286875564	0.537588943623426	0.644444444444444	2	0.502831488843767	0.521875	4	0.454878074323219	4	0.439110448626054	0.96	4	0.08	0.505443391066987	8	0.397833287250662	0.678115784994727	6	0.313470264921562
"7573"	0.744617082979152	8	0.168982739382539	0.830710298691544	0.682726626982729	4	0.3167947930368	0.660612591431557	5	0.323500628708751	4	0.26592202329922	0.820729355468653	7	0.105526605542628	0.744998839173398	8	0.158306043524259	0.617344697948008	8	0.339115491851926
"7633"	0.680878788658182	7	0.180003943940194	0.496790331934124	0.828827247191011	2	0.0672843882379053	0.742366928293565	3	0.266899953344375	4	0.26248453851814	0.678163889925355	7	0.150502701104173	0.725674348408626	8	0.224743596572573	0.629120894089021	7	0.180285946900824
"7669"	0.673422762824937	8	0.347576368861595	0.506473377371141	0.666666666666667	3	0.577350269189626	0.654067624488182	6	0.188863575043357	3	0.183404997979346	0.610311441460844	8	0.218139847250133	0.499663090532656	8	0.393967919461525	0.764889716873954	8	0.293655568695748
"7693"	0.592090395480226	5	0.433455223393631	0.433843933843934	0.657361588392516	3	0.306335229950879	0.429036559932859	5	0.242505153743223	2	0.100701298730419	0.376140620829746	7	0.129826434735209	0.374696335907903	6	0.238486088281173	0.44879907021824	7	0.29097553795236
"7713"	0.473282872157683	8	0.333253219689739	0.526713327397023	0.420360516676306	3	0.346550608946406	0.753686237235261	6	0.319246857045219	4	0.281587856892146	0.682069588465992	6	0.232393621010143	0.535117073435753	8	0.379120318696715	0.523130587594737	8	0.275054025224203
"7732"	0.605059845337199	8	0.398158720680261	0.615503834026946	0.645307971014493	4	0.266414994759853	0.459994229120276	6	0.267536758138281	4	0.163538706472103	0.573492220630114	8	0.298723536720376	0.646236494306892	8	0.324535234801967	0.547823479271706	6	0.187336263986413
"7751"	0.777400158860372	7	0.218501773750907	0.306397306397306	0.83921568627451	3	0.278486600432643	0.561898138043096	5	0.162583158411848	3	0.384148377391867	0.565353237001063	5	0.335081390651315	0.92339527027027	5	0.109186352495681	0.665909576320562	7	0.377152901228829
"7771"	0.676850681975995	6	0.241965157274614	0.832755010401167	0.815239878952204	4	0.154918965912991	0.771443107157393	6	0.27538603250911	4	0.0840614476767717	0.502683938186488	8	0.399180901320148	0.523845531927689	8	0.333496736060585	0.660076008350526	8	0.312500670123842
"7816"	0.376243488049425	4	0.280632195045296	0.521908819280273	0.556768679349325	3	0.163211508418702	0.721138091071876	5	0.175848564515061	4	0.294118000613744	0.556216150870406	5	0.317388989980633	0.609564900654891	8	0.274768389355301	0.464202007544071	5	0.197305795257985
"8081"	0.595958684528991	4	0.29273769488977	0.433209647495362	0.692307692307692	1	NA	0.297297297297297	1	NA	2	0.080025071711279	0.528214159226909	7	0.178795365008632	0.635185276456624	6	0.319504135844791	0.622255058581139	8	0.238966163269444
