"Sub.Num"	"name FN"	"name FN_n"	"name FN_sd"	"name NF"	"name NF_n"	"name NF_sd"	"vocalization FN"	"vocalization FN_n"	"vocalization FN_sd"	"vocalization NF"	"vocalization NF_n"	"vocalization NF_sd"
"6612"	0.259575930524142	4	0.306913844304772	0.202236981627334	4	0.0715657356743706	0.613562507616478	6	0.175938765237228	0.67252088365003	8	0.222828495984876
"7383"	NA	NA	NA	NA	NA	NA	0.582328879246199	7	0.324081333242537	0.774612402536772	7	0.18537282313098
"7409"	NA	NA	NA	NA	NA	NA	0.64954541077629	7	0.176988622895308	0.641579739379676	8	0.193638173921999
"7435"	NA	NA	NA	NA	NA	NA	0.573504020064731	8	0.216969477147339	0.598525214581728	7	0.275974448742301
"7462"	0.619647442131881	4	0.33344883573673	0.734130747539949	6	0.156267418444821	0.894144866788028	7	0.134635797625935	0.72230422703125	6	0.272489114646594
"7471"	0.750054155791307	4	0.118078823258544	0.790917840004219	6	0.168310831727354	0.840622676576595	8	0.217462601646292	0.599430290956756	6	0.122994938702886
"7505"	0.833031249155246	4	0.12420066774608	0.703969396352474	6	0.169743459536584	0.567642571902903	4	0.397342669467808	0.749256170926993	5	0.326414728617836
"7508"	NA	NA	NA	NA	NA	NA	0.711696778128832	7	0.231900337998684	0.695150022890139	7	0.22116859479393
"7549"	0.644444444444444	2	0.502831488843767	0.521875	4	0.454878074323219	0.533231947581556	8	0.333879240076648	0.715989158263026	6	0.278921080829138
"7573"	0.681879294238845	4	0.317818250621483	0.660612591431557	5	0.323500628708751	0.705463746883777	8	0.164685359952889	0.665257288071522	8	0.284234434079631
"7633"	0.828827247191011	2	0.0672843882379053	0.742366928293565	3	0.266899953344375	0.697296790255657	8	0.210891495571946	0.641372306580652	7	0.194271068855943
"7669"	0.666666666666667	3	0.577350269189626	0.654067624488182	6	0.188863575043357	0.535493271689118	8	0.357083179206611	0.720144299101705	8	0.279818594345293
"7693"	0.657361588392516	3	0.306335229950879	0.429036559932859	5	0.242505153743223	0.371022005504966	6	0.18018210997519	0.486925671190151	7	0.297580355413682
"7713"	0.420360516676306	3	0.346550608946406	0.753686237235261	6	0.319246857045219	0.546019103555603	8	0.354286093422708	0.517735095078527	8	0.260941625207959
"7732"	0.646020114942529	4	0.266505241532015	0.459994229120276	6	0.267536758138281	0.64378733866739	8	0.290031458880037	0.536300448708188	6	0.211573887861451
"7751"	0.83921568627451	3	0.278486600432643	0.561898138043096	5	0.162583158411848	0.934976152623211	5	0.0895792744148733	0.631133215859603	7	0.36960404623668
"7771"	0.815239878952204	4	0.154918965912991	0.771443107157393	6	0.27538603250911	0.541607079833903	8	0.33364350609178	0.646886072347292	8	0.326732803623979
"7816"	0.556768679349325	3	0.163211508418702	0.721138091071876	5	0.175848564515061	0.611353849228206	8	0.282209611760702	0.466763963660111	5	0.218076924622358
"8081"	0.692307692307692	1	NA	0.297297297297297	1	NA	0.626455117726465	6	0.330550747578502	0.602821131828943	8	0.269078969709083
