"Sub.Num"	"name"	"name_n"	"name_sd"	"onomatopoeic word"	"onomatopoeic word_n"	"onomatopoeic word_sd"	"vocalization"	"vocalization_n"	"vocalization_sd"
"6612"	900	1	NA	1033	1	NA	700	3	338.509970311068
"7383"	538.142857142857	7	220.628215611262	541.5	4	131.768736808091	657	7	299.806048415749
"7409"	633.6	5	179.521029408813	1011	3	283.660007755764	666.75	4	276.191207921855
"7435"	825.25	4	394.848810728022	866.666666666667	3	493.288286231625	850	4	220.134807182629
"7462"	516.5	4	110.252739950836	NA	NA	NA	633.666666666667	3	251.661147842358
"7471"	533.333333333333	3	144.990804306112	433.5	2	47.3761543394987	555.5	6	243.870252388437
"7505"	816.666666666667	6	272.14383451893	367	1	NA	577.666666666667	3	157.468515371592
"7508"	544.333333333333	3	76.7875858022202	733.5	2	94.0452018978108	783	2	494.974746830583
"7549"	333	1	NA	833	1	NA	NA	NA	NA
"7573"	522.333333333333	3	107.220955663216	640	5	301.063116306199	791.75	8	208.399170549487
"7633"	750	2	400.222438151586	400	1	NA	700	3	145.564418729303
"7669"	367	1	NA	766.5	4	256.832630325666	933	1	NA
"7693"	700	3	290.325679194934	500.333333333333	3	152.752523165195	883	2	212.132034355964
"7713"	900	2	46.6690475583121	766.666666666667	3	208.166599946613	750	2	117.379725676967
"7732"	500	1	NA	616.5	2	23.3345237791561	1083.5	2	23.3345237791561
"7751"	416.5	2	164.755880016466	NA	NA	NA	978	3	271.409285029087
"7771"	688.666666666667	3	96.4174949546675	600	2	282.842712474619	688.666666666667	3	315.113207170587
"7816"	700	1	NA	600	1	NA	650	4	450.924975282289
"8081"	NA	NA	NA	567	2	282.842712474619	867	1	NA
