"Sub.Num"	"name"	"name_n"	"name_sd"	"vocalization"	"vocalization_n"	"vocalization_sd"
"6612"	0.203642708176379	3	0.0875821065123275	0.69069749181137	7	0.264864080773112
"7383"	0.786531901346493	6	0.1891390666406	0.801429590637665	7	0.154636038955915
"7409"	0.796243364638628	3	0.209047777088748	0.656293412729932	7	0.229504519705657
"7435"	0.650344699017543	7	0.367693794300576	0.621485567882331	5	0.296814625954336
"7462"	0.734130747539949	6	0.156267418444821	0.726244239173194	6	0.252858237238609
"7471"	0.769387755102041	2	0.239550460565239	0.622191806341881	4	0.181214022183689
"7505"	0.703969396352474	6	0.169743459536584	0.751594669698118	5	0.313406754026951
"7508"	0.747925584589829	4	0.324348762822201	0.717308300337885	7	0.205130304327023
"7549"	0.433333333333333	3	0.513160143944688	0.520222457979895	4	0.25303493952451
"7573"	0.575765739289446	4	0.3025617626928	0.703681510085293	7	0.254155034842974
"7633"	0.742366928293565	3	0.266899953344375	0.629120894089021	7	0.180285946900824
"7669"	0.630450769638983	5	0.20100657632385	0.786362057379757	7	0.310326632330496
"7693"	0.466708071050095	4	0.262584680545138	0.44879907021824	7	0.29097553795236
"7713"	0.704423484682313	5	0.330449774925579	0.523151807934417	6	0.320322523108598
"7732"	0.459994229120276	6	0.267536758138281	0.547823479271706	6	0.187336263986413
"7751"	0.561898138043096	5	0.162583158411848	0.74750548651043	3	0.267849585288593
"7771"	0.801020408163265	2	0.281399637410973	0.697563054802283	5	0.164094398719915
"7816"	0.767584230001461	4	0.16385562154806	0.405553714249366	4	0.170221288564727
"8081"	0.297297297297297	1	NA	0.740740740740741	1	NA
