"Sub.Num"	"Disambiguation"	"Disambiguation_n"	"Disambiguation_sd"	"Familiar"	"Familiar_n"	"Familiar_sd"	"Retention"	"Retention_n"	"Retention_sd"
"23444"	0.617878553896057	7	0.305080155412953	0.584136576690877	13	0.266773267618032	0.571749887539361	3	0.496538771669739
"5278"	0.796844339081765	8	0.150276190196177	0.556257392202845	15	0.271491125678151	0.436050852547547	4	0.203220788905086
"6478"	0.619854435716505	5	0.175339558227579	0.690835797343532	8	0.29254272718071	0.402323376007586	2	0.246431239531585
"6685"	0.658914227689477	8	0.332178327456832	0.540947200443954	16	0.32081957311036	0.64655860950829	6	0.345560081064559
"6763"	0.347879342767584	7	0.189662048576677	0.548612987916535	16	0.313205299681279	0.71458198664081	6	0.315800389270107
"6800"	0.504137963968201	6	0.24653932400758	0.558066648781145	12	0.280621132759746	0.418373616929853	3	0.271378609701121
"6816"	0.672130687642437	8	0.317537919982436	0.793573741337252	14	0.127724379033659	0.656026164635334	6	0.194085723752406
"6829"	0.789225305459475	5	0.106616127876382	0.588055546628725	9	0.346384607298526	0.789033189033189	2	0.226927197887285
"6835"	0.787887959498129	4	0.023437125269665	0.465122847544016	7	0.243447100093081	0.449466362535552	3	0.109814528112648
"6851"	0.739286686262768	5	0.138100452324382	0.803721236882334	14	0.252820356887895	0.608028730965052	6	0.334788578314269
"6854"	0.682684899845917	8	0.34357368305187	0.655500584953197	16	0.233492345491601	0.4936203466894	6	0.435122981345319
"6858"	0.62802281901197	8	0.316965264477864	0.624696696184983	15	0.272695764656951	0.531749672346003	5	0.495187427696857
"6893"	0.604968984014424	6	0.235143445315514	0.636080173315844	10	0.1620888801814	0.301243824982357	5	0.200834006671205
"6896"	0.449957343189153	6	0.240455206566708	0.524324666073324	13	0.349663059904241	0.469917707371675	5	0.214536510825608
"6915"	0.551134649494774	6	0.237323570406545	0.562442321702926	13	0.113594066159045	0.454115601301141	4	0.439868490879398
"6921"	0.606324646064589	7	0.332146195819442	0.623890645693221	13	0.257986134523627	0.666666666666667	3	0.577350269189626
"6950"	0.78625899516363	7	0.238254485172953	0.650200925435549	15	0.211707163836542	0.528106125109757	4	0.184555584704208
"6975"	0.809885572577701	5	0.181954284457738	0.820671219511053	8	0.19263003651157	0.504762918061993	4	0.198589441608685
"7001"	0.332797096162634	8	0.271875022629562	0.517578115252849	16	0.324036294892715	0.406599607907803	3	0.10175645871626
"7020"	0.470082822118841	5	0.354796406514763	0.480058411812335	9	0.364467530518057	0.324739006643467	3	0.362351005044649
"7040"	0.772984399161866	7	0.0983128551829086	0.59576089075746	16	0.284471665662654	0.849818623466406	3	0.0996766094614665
"7077"	0.752832317633203	4	0.0671381992917543	0.546556998318379	9	0.329087020700075	0.800676981329155	4	0.135453310298387
"7804"	0.787218337218337	6	0.300100609861755	0.723318075360471	13	0.211046844442482	0.674019607843137	4	0.471633846535637
