"Sub.Num"	"name_Familiar"	"name_Familiar_n"	"name_Familiar_sd"	"name_Novel"	"name_Novel_n"	"name_Novel_sd"	"onomatopoeic word_Familiar"	"onomatopoeic word_Familiar_n"	"onomatopoeic word_Familiar_sd"	"vocalization_Familiar"	"vocalization_Familiar_n"	"vocalization_Familiar_sd"	"vocalization_Novel"	"vocalization_Novel_n"	"vocalization_Novel_sd"
"6612"	0.279497553111455	8	0.294733796012633	0.143033977516736	3	0.0992466858213563	0.266788419257319	6	0.256322734351336	0.640928457403365	12	0.247632234761375	0.713956742571637	7	0.271596286514376
"7383"	0.895639951294971	14	0.136805299938436	0.769359018876572	6	0.174674742806458	0.805752071557453	7	0.191630224785679	0.646465179699008	13	0.321690115630012	0.805133588562769	7	0.198016199758308
"7409"	0.61057646351535	9	0.273026977217521	0.791793976429507	3	0.208863838166544	0.576356906292616	5	0.134734791776406	0.688756973884805	12	0.31651347709931	0.715667675698397	7	0.249886569061833
"7435"	0.429640754364487	12	0.295364390766144	0.646157284333703	7	0.408798890324861	0.665938440281502	8	0.386257071211204	0.680797062450971	11	0.315835030682586	0.701216850666979	6	0.286429756678331
"7462"	0.685417559173485	7	0.311490348526367	0.710933710989395	6	0.17504594423278	0.664256924893938	7	0.185808971653483	0.837579655539765	11	0.17881802332956	0.728490347097476	6	0.211622184957802
"7471"	0.748185540420191	7	0.196784619706316	0.843137254901961	3	0.213500511197117	0.895489421064869	7	0.15198436460391	0.813628934437335	15	0.288478304081572	0.516795618174928	5	0.179879514646513
"7505"	0.803464577084326	8	0.171331105930218	0.731440953033703	6	0.161595245729098	0.614731199033525	7	0.45634156903628	0.59292363303396	9	0.375865150547753	0.771320437342304	5	0.30428415808346
"7508"	0.667217049259145	11	0.411461366397246	0.602713178294574	5	0.428028015589183	0.705576776165011	7	0.303719608117211	0.757656272052246	12	0.253934125175335	0.708310596966059	7	0.24093844513428
"7549"	0.736198513160539	5	0.357837781266546	0.446969696969697	3	0.508366638479019	0.954022988505747	4	0.0919540229885057	0.568910533116392	14	0.434468363049472	0.586962262543658	5	0.32631236364659
"7573"	0.802056220497558	7	0.266690596277831	0.655076070017134	5	0.320981687944505	0.82883274539405	7	0.111791013684367	0.724433526675559	14	0.224820267793975	0.569249899729915	8	0.333903605019346
"7633"	0.654011602791489	6	0.296254904993746	0.810969793322734	3	0.250364042487567	0.720485537765553	7	0.258639177578935	0.666660277893632	11	0.254552668104539	0.617689329726844	7	0.123860099685526
"7669"	0.70210687960688	5	0.302517978210919	0.622941603012338	5	0.19019954197655	0.632811956615027	7	0.248252678836879	0.530991311253722	15	0.421496331228143	0.821037845965141	7	0.277474667238698
"7693"	0.528653302142973	5	0.258121191249175	0.435560899387294	4	0.243582588342673	0.372924208350722	6	0.141074970094657	0.470200548680364	8	0.386222522031166	0.465106601800436	7	0.339731960669579
"7713"	0.449127547172998	6	0.378136894242574	0.688176969071278	5	0.324413793897462	0.755517858244402	5	0.280570767442182	0.478836714527631	16	0.389789022630735	0.493314434207418	6	0.393743813974995
"7732"	0.585386221253616	8	0.246554073858866	0.448590865820935	6	0.284324585132169	0.560239821453057	8	0.32590915652837	0.626190001893341	16	0.370378260396381	0.572408195253023	6	0.294168201501573
"7751"	0.592514534883721	6	0.424167791352745	0.6327616940193	5	0.170481281169869	0.465172742546384	4	0.255188607348746	0.829192404162923	10	0.199675606181811	0.819332422142342	5	0.199225816903194
"7771"	0.87803172261645	8	0.133333599170343	0.700393356643357	4	0.400423044111838	0.503729823520186	8	0.399142782613333	0.608978618260126	13	0.338918118467212	0.650750177394459	5	0.165624288055109
"7816"	0.643043643835131	5	0.292865629419961	0.730532876707107	4	0.18895775631095	0.598737170905846	5	0.335808709110667	0.463775736135574	9	0.294514096353861	0.428321910063583	4	0.111592142863759
"8081"	0.666666666666667	2	0.471404520791032	0.297297297297297	1	NA	0.436229190863337	3	0.115843258280126	0.654550144321978	7	0.28108200518962	0.843513742187287	3	0.172729477842759
