"Sub.Num"	"Disambiguation"	"Disambiguation_n"	"Disambiguation_sd"	"Familiar"	"Familiar_n"	"Familiar_sd"	"Retention"	"Retention_n"	"Retention_sd"
"23444"	0.650692333671057	7	0.304776328662473	0.617347016005528	13	0.260651321803955	0.622222222222222	3	0.542968521016472
"5278"	0.829040432640461	8	0.144646573652693	0.616820747128094	13	0.291952442238896	0.428856927386339	4	0.303151581114342
"6478"	0.633624039614513	4	0.153826565716316	0.764927149737276	6	0.280436555544558	0.247066167290886	2	0.317977356533576
"6685"	0.649595810434695	8	0.345210188158025	0.533816585341238	16	0.315215214897996	0.629210104671698	6	0.344391977699383
"6763"	0.29141763750495	7	0.195001310614241	0.551805722576313	14	0.338981745466869	0.726976496819195	6	0.287404242109294
"6800"	0.475531634208057	6	0.268040526686719	0.551049115711615	7	0.324503721043648	0.259767441860465	2	0.170034514359742
"6816"	0.684952461889411	8	0.358724082942965	0.803720427102199	12	0.117327027659714	0.642479102637521	6	0.165656769447448
"6829"	0.731639533634215	4	0.139159417443862	0.597664856028934	9	0.345468933494255	0.759259259259259	2	0.340458820571301
"6835"	0.749481901077646	4	0.00560796269862201	0.421424674511148	6	0.266775531318446	NA	NA	NA
"6851"	0.717570806770464	5	0.141272995708489	0.8510230945612	14	0.266551875861623	0.659810322951108	5	0.319299441320681
"6854"	0.680301418439716	8	0.347633671187512	0.644564315671411	15	0.263803934896215	0.523733488445476	6	0.43314840398602
"6858"	0.650940270573987	8	0.301463856592846	0.654246951372481	15	0.283515859136244	0.516924564796905	5	0.488609026595032
"6893"	0.552397595875857	6	0.291856026952954	0.627742965302426	10	0.189249665838846	0.330040106951872	5	0.204448449613311
"6896"	0.444869710733923	5	0.221285704792806	0.514939459064506	13	0.354773974841653	0.375740002416334	3	0.355942361438581
"6915"	0.537792081441967	6	0.228104235932565	0.494103870261253	10	0.065437749031966	0.28034188034188	3	0.327978019714333
"6921"	0.748230421390157	5	0.187973184663186	0.63415288698242	12	0.279907614903338	0.5	2	0.707106781186548
"6950"	0.78574168797954	6	0.241991632546917	0.709009764335719	12	0.211207612428362	0.552699413848326	4	0.12229208129825
"6975"	0.821788087471306	5	0.169297700473789	0.82261184470658	8	0.180082840950322	0.589431401931402	4	0.195079944238181
"7001"	0.347475803651846	7	0.288457401059983	0.50914535321315	15	0.330082867145658	0.335301402717133	3	0.0546458912238573
"7020"	0.514389305004327	5	0.388724311027454	0.456403922724387	9	0.394964227458746	0.242753623188406	3	0.365439459746427
"7040"	0.72565129742304	7	0.0991768612206093	0.576839453902632	13	0.3214604172429	0.825621969217795	3	0.127009364825758
"7077"	0.707201499469052	4	0.0397552069435022	0.625762601998017	6	0.359106235819984	0.973684210526316	2	0.0372161463782394
"7804"	0.777131782945736	6	0.34377981082392	0.710973333562226	12	0.287661648223226	0.668604651162791	4	0.471420454963349
