"Sub.Num"	"name"	"name_n"	"name_sd"	"onomatopoeic word"	"onomatopoeic word_n"	"onomatopoeic word_sd"	"vocalization"	"vocalization_n"	"vocalization_sd"
"6612"	0.280901568509386	11	0.267685294222343	0.271895496677801	6	0.240921426145872	0.67895676869764	19	0.223097542734929
"7383"	0.848941575460388	20	0.162959543854375	0.8177942509952	7	0.194786892102201	0.698216897289765	20	0.277409664776497
"7409"	0.659040455581855	12	0.238279508742306	0.583856069332456	5	0.147823259048623	0.665490144267157	19	0.233109657553586
"7435"	0.51144163407341	19	0.32584041727507	0.641682145505024	8	0.402832495371737	0.627486052960813	17	0.261756507170127
"7462"	0.719635358732181	13	0.222551078267277	0.675326504057479	7	0.184032576260882	0.800429174327132	17	0.210621947386522
"7471"	0.779073978047246	10	0.188364344990726	0.917096388564739	7	0.118441690378774	0.758873245353655	20	0.219899672050112
"7505"	0.741661022565806	14	0.180006844257332	0.649390126982623	7	0.424102971350668	0.627171625231076	14	0.344677512717346
"7508"	0.653720648934764	16	0.3968048530353	0.705396941703958	7	0.325971920565885	0.720147807228597	19	0.238417960332776
"7549"	0.592405582922824	8	0.396477929524589	0.96	4	0.08	0.575385883869829	19	0.366026642034055
"7573"	0.746688244643079	12	0.284586414580348	0.820729355468653	7	0.105526605542628	0.704479186530073	22	0.239240023694553
"7633"	0.652435178555468	9	0.259105556115963	0.678163889925355	7	0.150502701104173	0.663506535765217	18	0.206649646489434
"7669"	0.667167398030834	10	0.243733165154515	0.616603781635112	7	0.234832462334154	0.631328237659956	22	0.358246184127441
"7693"	0.522956101896199	9	0.24683174087884	0.370848268161019	6	0.141388147361782	0.440393409336925	15	0.308965351134798
"7713"	0.57064991429292	11	0.328333965602549	0.666968354644038	5	0.25651148002705	0.509368655107	22	0.331908136707131
"7732"	0.557372328206244	14	0.240574300163331	0.573492220630114	8	0.298723536720376	0.604423254217407	22	0.31287149369438
"7751"	0.567848151657357	11	0.313392776216614	0.456691546251328	4	0.266440044982893	0.781342966507859	15	0.211788018420353
"7771"	0.777645775955746	12	0.19739249275164	0.502683938186488	8	0.399180901320148	0.625655973060789	18	0.274574178755591
"7816"	0.685757047043439	9	0.199502640254961	0.556216150870406	5	0.317388989980633	0.453719297813627	13	0.261265162312714
"8081"	0.493133635990779	3	0.197526348396277	0.423234811165846	3	0.115155649242962	0.678278994438519	10	0.274766410718527
