"Sub.Num"	"name FN"	"name FN_n"	"name FN_sd"	"name NF"	"name NF_n"	"name NF_sd"	"vocalization FN"	"vocalization FN_n"	"vocalization FN_sd"	"vocalization NF"	"vocalization NF_n"	"vocalization NF_sd"
"6612"	0.259575930524142	4	0.306913844304772	0.202236981627334	4	0.0715657356743706	0.610194047619664	6	0.180545564355214	0.671091858375326	8	0.230777421995995
"7383"	NA	NA	NA	NA	NA	NA	0.586471692067027	7	0.316582181167335	0.784341172366382	7	0.17381872273799
"7409"	NA	NA	NA	NA	NA	NA	0.647981698104088	7	0.185456502090755	0.642975198492574	8	0.196484487076794
"7435"	NA	NA	NA	NA	NA	NA	0.583462894618992	8	0.222276892849556	0.584363348085108	7	0.277606730938131
"7462"	0.619647442131881	4	0.33344883573673	0.734130747539949	6	0.156267418444821	0.896104413230397	7	0.143383656369901	0.724748506820954	6	0.267773993048063
"7471"	0.750054155791307	4	0.118078823258544	0.790917840004219	6	0.168310831727354	0.844605034369578	8	0.218318492649296	0.613396221728943	6	0.116298486134199
"7505"	0.833031249155246	4	0.12420066774608	0.703969396352474	6	0.169743459536584	0.566819119992495	4	0.396350386586226	0.748858351661266	5	0.322552741394174
"7508"	NA	NA	NA	NA	NA	NA	0.722929852061468	7	0.220414480753903	0.700768099745262	7	0.214669528974809
"7549"	0.644444444444444	2	0.502831488843767	0.521875	4	0.454878074323219	0.533827218072808	8	0.338047694447193	0.7099790990581	6	0.283395199741935
"7573"	0.681879294238845	4	0.317818250621483	0.660612591431557	5	0.323500628708751	0.714777079623228	8	0.162286616960281	0.653750668754486	8	0.301567139019009
"7633"	0.828827247191011	2	0.0672843882379053	0.742366928293565	3	0.266899953344375	0.701876481142882	8	0.215730741663664	0.639694153214355	7	0.199330830556767
"7669"	0.666666666666667	3	0.577350269189626	0.654067624488182	6	0.188863575043357	0.526272435897436	8	0.366035517899496	0.740219079289243	8	0.290049152597941
"7693"	0.657361588392516	3	0.306335229950879	0.429036559932859	5	0.242505153743223	0.376596634171705	6	0.195535892802109	0.475303753468639	7	0.298549973928699
"7713"	0.420360516676306	3	0.346550608946406	0.753686237235261	6	0.319246857045219	0.542420595723032	8	0.359253623776476	0.519003687351833	8	0.26173186664372
"7732"	0.646020114942529	4	0.266505241532015	0.459994229120276	6	0.267536758138281	0.644636092722103	8	0.287776423016463	0.541739002510508	6	0.205056691026234
"7751"	0.83921568627451	3	0.278486600432643	0.561898138043096	5	0.162583158411848	0.932295586725966	5	0.0938468135026627	0.6407250129514	7	0.369485456935905
"7771"	0.815239878952204	4	0.154918965912991	0.771443107157393	6	0.27538603250911	0.536116068486795	8	0.333865282664302	0.651755487407485	8	0.321544063029406
"7816"	0.556768679349325	3	0.163211508418702	0.721138091071876	5	0.175848564515061	0.610997770266629	8	0.279470306571319	0.456234511888347	5	0.220332683923749
"8081"	0.692307692307692	1	NA	0.297297297297297	1	NA	0.628637657409005	6	0.327693192054131	0.606200128721351	8	0.261226772696812
