"Sub.Num"	"Condition"	"Accuracy"	"n"	"sd"
"23444"	"Familiar"	0.638730665046454	9	0.314378521256972
"5278"	"Familiar"	0.6842833720716	11	0.308978531218716
"6478"	"Familiar"	0.749296963456529	7	0.256419682419553
"6685"	"Familiar"	0.499615430395246	15	0.304357623120829
"6763"	"Familiar"	0.570962995420468	12	0.319884001383458
"6800"	"Familiar"	0.640072094400031	9	0.321763962154997
"6816"	"Familiar"	0.795526857233341	9	0.147871554544231
"6829"	"Familiar"	0.543791733560894	7	0.375112573184901
"6835"	"Familiar"	0.455161631949873	5	0.257727293945319
"6851"	"Familiar"	0.849734330885355	12	0.291273658746918
"6854"	"Familiar"	0.579021960508086	12	0.2587432767184
"6858"	"Familiar"	0.687843661228364	13	0.229001285848243
"6893"	"Familiar"	0.616505288987986	9	0.204446419920513
"6896"	"Familiar"	0.507221403933871	11	0.382872345204349
"6915"	"Familiar"	0.451072260930601	10	0.0953069213999158
"6921"	"Familiar"	0.623848487378587	10	0.306850284611337
"6950"	"Familiar"	0.73272617426885	11	0.22891226261273
"6975"	"Familiar"	0.762156370723355	6	0.162047168498078
"7001"	"Familiar"	0.495247589201251	12	0.36275492491697
"7020"	"Familiar"	0.519801652553591	7	0.41486999405447
"7040"	"Familiar"	0.626449962983363	11	0.333429163857606
"7077"	"Familiar"	0.637234413096482	6	0.355412555803211
"7804"	"Familiar"	0.58443142947175	7	0.335220136209457
"23444"	"Disambiguation"	0.781926406926407	4	0.326389773568389
"5278"	"Disambiguation"	0.828617326448652	5	0.195293387741716
"6478"	"Disambiguation"	0.572480620155039	2	0.0860587322839441
"6685"	"Disambiguation"	0.60164030170912	7	0.348518996832719
"6763"	"Disambiguation"	0.315826790903548	6	0.19670757536553
"6800"	"Disambiguation"	0.450494640871538	6	0.271176404788393
"6816"	"Disambiguation"	0.639798344894021	7	0.359087962091716
"6829"	"Disambiguation"	0.595528455284553	2	0.100604623339549
"6835"	"Disambiguation"	0.731060606060606	3	0.00656079851351847
"6851"	"Disambiguation"	0.76627486437613	2	0.0274914933011045
"6854"	"Disambiguation"	0.616792929292929	6	0.385638183060046
"6858"	"Disambiguation"	0.661598595667223	8	0.305363693387793
"6893"	"Disambiguation"	0.516971419665437	5	0.314974137187037
"6896"	"Disambiguation"	0.377652834969908	4	0.130261349630371
"6915"	"Disambiguation"	0.614038173408898	3	0.214432012113303
"6921"	"Disambiguation"	0.666922124528615	7	0.336778380570098
"6950"	"Disambiguation"	0.739211068589932	5	0.252194943045396
"6975"	"Disambiguation"	0.842159277504105	4	0.182328099554272
"7001"	"Disambiguation"	0.208212639396197	6	0.277653601677064
"7020"	"Disambiguation"	0.658699059561129	4	0.29568173776034
"7040"	"Disambiguation"	0.717155582191079	6	0.112189839037276
"7077"	"Disambiguation"	0.686680189317106	2	0.0770693800725297
"7804"	"Disambiguation"	0.728706896551724	5	0.387461833109441
"23444"	"Retention"	0.619047619047619	3	0.54084841388574
"5278"	"Retention"	0.370168067226891	3	0.359361128774708
"6478"	"Retention"	0.244186046511628	2	0.345331218719012
"6685"	"Retention"	0.612749749067695	6	0.359882410013768
"6763"	"Retention"	0.739895439701716	5	0.312940350177896
"6816"	"Retention"	0.547747703732656	4	0.146145104514217
"6829"	"Retention"	0.74	2	0.367695526217005
"6851"	"Retention"	0.682911877394636	3	0.435259376057778
"6854"	"Retention"	0.610406698564593	5	0.427823007309338
"6858"	"Retention"	0.480113636363636	4	0.555337781582428
"6893"	"Retention"	0.249888962913613	3	0.218921034620772
"6896"	"Retention"	0.378340950006924	3	0.34867395272527
"6915"	"Retention"	0.287611265139355	3	0.33096117594196
"6921"	"Retention"	0.666666666666667	3	0.577350269189626
"6950"	"Retention"	0.502742946708464	2	0.0282621048906849
"6975"	"Retention"	0.682112281532331	3	0.183784691485408
"7001"	"Retention"	0.310921735723381	3	0.0902664836160195
"7020"	"Retention"	0.319767441860465	2	0.45221945308442
"7040"	"Retention"	0.949367088607595	1	NA
"7077"	"Retention"	0.943820224719101	1	NA
"7804"	"Retention"	0.886178861788618	3	0.197143994357433
