"Sub.Num"	"Condition"	"Accuracy"	"n"	"sd"
"23444"	"Disambiguation"	767	1	NA
"5278"	"Disambiguation"	633	1	NA
"6478"	"Disambiguation"	1100	1	NA
"6685"	"Disambiguation"	383.5	2	118.086832458153
"6816"	"Disambiguation"	844.333333333333	3	222.027776040146
"6829"	"Disambiguation"	500	1	NA
"6835"	"Disambiguation"	1083.5	2	23.3345237791561
"6851"	"Disambiguation"	667	1	NA
"6854"	"Disambiguation"	1267	1	NA
"6858"	"Disambiguation"	316.5	2	23.3345237791561
"6893"	"Disambiguation"	333	1	NA
"6896"	"Disambiguation"	800	3	347.978447608469
"6915"	"Disambiguation"	333	1	NA
"6921"	"Disambiguation"	800	2	424.264068711929
"6950"	"Disambiguation"	1300	1	NA
"7001"	"Disambiguation"	678	3	84.0416563377948
"7040"	"Disambiguation"	1083.25	4	397.049430172113
"7804"	"Disambiguation"	750	2	70.7106781186548
"23444"	"Familiar"	675	4	341.310220571648
"5278"	"Familiar"	466.6	5	151.070513337315
"6685"	"Familiar"	1041.75	4	800.274275899623
"6763"	"Familiar"	533	1	NA
"6800"	"Familiar"	350	2	70.7106781186548
"6816"	"Familiar"	858	4	403.112887414927
"6829"	"Familiar"	1183.5	2	730.441304965704
"6835"	"Familiar"	844.333333333333	3	673.93273650516
"6851"	"Familiar"	433.25	4	156.489350010365
"6854"	"Familiar"	1205.5	6	379.331912709701
"6858"	"Familiar"	781	7	571.247173588923
"6893"	"Familiar"	900	3	240.601330004637
"6896"	"Familiar"	933.5	2	188.797510576808
"6915"	"Familiar"	566.5	6	84.5121293069817
"6921"	"Familiar"	774.75	4	383.36959973373
"6950"	"Familiar"	683.333333333333	6	366.794038482998
"6975"	"Familiar"	1022.33333333333	3	401.866063923459
"7001"	"Familiar"	933.333333333333	3	638.609687785374
"7020"	"Familiar"	1200	1	NA
"7040"	"Familiar"	300	1	NA
"7077"	"Familiar"	733	2	0
"7804"	"Familiar"	555.666666666667	3	96.4174949546675
"23444"	"Retention"	700	1	NA
"5278"	"Retention"	233	1	NA
"6685"	"Retention"	650	2	353.553390593274
"6763"	"Retention"	1067	1	NA
"6816"	"Retention"	933.5	2	659.730626847049
"6829"	"Retention"	1000	1	NA
"6851"	"Retention"	666.666666666667	3	351.188458428425
"6858"	"Retention"	533	1	NA
"6893"	"Retention"	1500	2	282.842712474619
"6896"	"Retention"	233	1	NA
"6975"	"Retention"	333	1	NA
"7020"	"Retention"	1333	1	NA
"7040"	"Retention"	833	2	565.685424949238
"7077"	"Retention"	467	1	NA
