"Sub.Num"	"name_Familiar"	"name_Familiar_n"	"name_Familiar_sd"	"name_Novel"	"name_Novel_n"	"name_Novel_sd"	"onomatopoeic word_Familiar"	"onomatopoeic word_Familiar_n"	"onomatopoeic word_Familiar_sd"	"vocalization_Familiar"	"vocalization_Familiar_n"	"vocalization_Familiar_sd"	"vocalization_Novel"	"vocalization_Novel_n"	"vocalization_Novel_sd"
"6612"	0.341961174713788	7	0.30768748305128	0.217091177556294	3	0.179735629409847	0.184982520139839	6	0.242054090146656	0.523675804000161	12	0.354147462005219	0.618736917844061	7	0.317495243545819
"7383"	0.810993477729358	14	0.245312684910331	0.619631234556079	6	0.238370417224105	0.707410888474011	7	0.335352290221253	0.63778149652407	11	0.289359502486759	0.746294307196563	7	0.35865892623034
"7409"	0.613944813930634	8	0.293427770274636	0.78397212543554	3	0.214306959089642	0.265106569984619	3	0.236502583024972	0.786938637243515	6	0.196695450910334	0.719059105818688	7	0.240402839597269
"7435"	0.501039464411557	10	0.41016802897381	0.613352317671255	7	0.448079782665106	0.720238095238095	8	0.398968137815417	0.615043845756298	11	0.302491221924174	0.70057178593764	5	0.187403000569374
"7462"	0.771292660827545	7	0.351640919940538	0.548650122487332	6	0.218305864320068	0.521985449793164	7	0.39060354581987	0.749641979310159	10	0.331850747545509	0.702959830866808	6	0.199257939323025
"7471"	0.635039532924155	6	0.36802417211199	0.8	2	0.0707106781186547	0.880564784053156	7	0.153316080017639	0.698646839075086	13	0.370205627901394	0.409264440170193	4	0.0884887212977309
"7505"	0.722819260999919	8	0.239236428941901	0.788247798547228	6	0.238501694883599	0.602004159576479	6	0.483395585643399	0.776844141462082	7	0.360136344813782	0.75245761989948	5	0.334842017065377
"7508"	0.608834748369632	9	0.463610181442409	0.863553113553114	4	0.128688257660009	0.711143410852713	6	0.34493366647919	0.655987656597413	10	0.313067884434614	0.656696846896182	7	0.344396551359848
"7549"	0.831135531135531	5	0.296342429667156	0.565891472868217	3	0.512859687039476	0.904761904761905	4	0.19047619047619	0.559765776229191	12	0.487025087940089	0.648228803716609	4	0.445999175002449
"7573"	0.755587435819994	7	0.347867383728791	0.663144028800992	4	0.396042595733702	0.759868619752341	7	0.172652791642469	0.575314593256818	14	0.329723651077685	0.623855441212219	7	0.350067201221811
"7633"	0.705518641565153	6	0.317662416248058	0.868217054263566	3	0.228254757586596	0.768367346938776	7	0.344486632316131	0.659875212705615	10	0.294475775023663	0.358743310143116	7	0.23421934846311
"7669"	0.860954712362301	5	0.251014400680714	0.387572590011614	5	0.418662860206299	0.574149659863946	7	0.337702176423439	0.52015873015873	15	0.476442846956646	0.785714285714286	7	0.393397896234722
"7693"	0.506358079904591	4	0.143623127750785	0.483428124664653	4	0.419961826028744	0.632926913780572	5	0.217452899342451	0.449667774086379	7	0.460767809388624	0.64124347413384	7	0.434631429676374
"7713"	0.413830816879597	6	0.384058363780603	0.729752970606629	5	0.251592784589887	0.714634146341463	5	0.196626540998269	0.516822397563677	16	0.39604543997127	0.483028455284553	6	0.507164672328642
"7732"	0.49361316977596	8	0.414028488331446	0.40542613150384	6	0.44248063747449	0.62844338316722	8	0.347548286657444	0.618578406215956	15	0.412181950302961	0.557005373502466	6	0.405385978948463
"7751"	0.84391771019678	4	0.217617277169307	0.861627906976744	5	0.201250149064909	0.613095238095238	4	0.483427154863023	0.72468754943838	7	0.348008878480859	0.697251258226868	3	0.404316885741769
"7771"	0.749882773138587	6	0.251496297811244	0.63953488372093	2	0.509774656204255	0.527863577863578	7	0.384429940985668	0.540407713931864	13	0.437516159817096	0.630232558139535	5	0.219204652064807
"7816"	0.735772357723577	5	0.259995980117874	0.75375234521576	4	0.315492338329569	0.409756097560976	5	0.45870521030217	0.574243317352615	7	0.257039584980779	0.322713414634146	4	0.368735726288843
"8081"	0.09375	1	NA	0.511627906976744	1	NA	0.595512820512821	2	0.0643648480310832	0.651097711811997	7	0.351282632917724	0.533333333333333	1	NA
