"Sub.Num"	"name_Novel"	"name_Novel_n"	"name_Novel_sd"	"vocalization_Novel"	"vocalization_Novel_n"	"vocalization_Novel_sd"
"6612"	0.217091177556294	3	0.179735629409847	0.618736917844061	7	0.317495243545819
"7383"	0.619631234556079	6	0.238370417224105	0.746294307196563	7	0.35865892623034
"7409"	0.78397212543554	3	0.214306959089642	0.719059105818688	7	0.240402839597269
"7435"	0.613352317671255	7	0.448079782665106	0.70057178593764	5	0.187403000569374
"7462"	0.548650122487332	6	0.218305864320068	0.702959830866808	6	0.199257939323025
"7471"	0.8	2	0.0707106781186547	0.409264440170193	4	0.0884887212977309
"7505"	0.788247798547228	6	0.238501694883599	0.75245761989948	5	0.334842017065377
"7508"	0.863553113553114	4	0.128688257660009	0.656696846896182	7	0.344396551359848
"7549"	0.565891472868217	3	0.512859687039476	0.648228803716609	4	0.445999175002449
"7573"	0.663144028800992	4	0.396042595733702	0.623855441212219	7	0.350067201221811
"7633"	0.868217054263566	3	0.228254757586596	0.358743310143116	7	0.23421934846311
"7669"	0.387572590011614	5	0.418662860206299	0.785714285714286	7	0.393397896234722
"7693"	0.483428124664653	4	0.419961826028744	0.64124347413384	7	0.434631429676374
"7713"	0.729752970606629	5	0.251592784589887	0.483028455284553	6	0.507164672328642
"7732"	0.40542613150384	6	0.44248063747449	0.557005373502466	6	0.405385978948463
"7751"	0.861627906976744	5	0.201250149064909	0.697251258226868	3	0.404316885741769
"7771"	0.63953488372093	2	0.509774656204255	0.630232558139535	5	0.219204652064807
"7816"	0.75375234521576	4	0.315492338329569	0.322713414634146	4	0.368735726288843
"8081"	0.511627906976744	1	NA	0.533333333333333	1	NA
