"Sub.Num"	"name FN"	"name FN_n"	"name FN_sd"	"name NF"	"name NF_n"	"name NF_sd"	"vocalization FN"	"vocalization FN_n"	"vocalization FN_sd"	"vocalization NF"	"vocalization NF_n"	"vocalization NF_sd"
"6612"	0.248401106612276	4	0.28519088823065	0.202236981627334	4	0.0715657356743706	0.535037221028762	6	0.227014238802355	0.669440951917119	8	0.277687502414063
"7383"	NA	NA	NA	NA	NA	NA	0.591548286436507	7	0.305529056481703	0.796618537449344	7	0.175070571883959
"7409"	NA	NA	NA	NA	NA	NA	0.683612462528871	7	0.251500727378963	0.6624732347301	8	0.232790611465304
"7435"	NA	NA	NA	NA	NA	NA	0.677392480333129	8	0.259677297684739	0.579323799305606	7	0.297690914909048
"7462"	0.612260960688796	4	0.327788192908115	0.734130747539949	6	0.156267418444821	0.874818686282101	7	0.20093045325501	0.725968338703458	6	0.234741105041841
"7471"	0.746717008575441	4	0.113726868773277	0.790917840004219	6	0.168310831727354	0.849721299663886	8	0.231631134474903	0.610284876303059	6	0.166866522927992
"7505"	0.827168981589012	4	0.124379370403304	0.703842484746408	6	0.169547717995335	0.56124871001032	4	0.389754318220569	0.77304740595136	5	0.317353103088711
"7508"	NA	NA	NA	NA	NA	NA	0.817265703372326	7	0.154770469094534	0.722340587047824	7	0.218942357815598
"7549"	0.644444444444444	2	0.502831488843767	0.521875	4	0.454878074323219	0.528763246215952	8	0.412334382579984	0.658142716525091	6	0.329798102468891
"7573"	0.69745008208686	4	0.299983509311435	0.660612591431557	5	0.323500628708751	0.775471677102829	8	0.168422456985569	0.596916799452971	8	0.33412028156687
"7633"	0.828827247191011	2	0.0672843882379053	0.742366928293565	3	0.266899953344375	0.719899614660826	8	0.206540899460237	0.623922522140636	7	0.149681107105199
"7669"	0.666666666666667	3	0.577350269189626	0.654067624488182	6	0.188863575043357	0.497558511040532	8	0.396713929834697	0.767901661347684	8	0.288582237101639
"7693"	0.657361588392516	3	0.306335229950879	0.429036559932859	5	0.242505153743223	0.354287785707667	6	0.329605960069397	0.442085100117934	7	0.294861887683377
"7713"	0.377829947829948	3	0.398763500307468	0.753686237235261	6	0.319246857045219	0.527421144522207	8	0.393653535121086	0.518047667847586	8	0.310243313874062
"7732"	0.632916666666667	4	0.26606311907766	0.459994229120276	6	0.267536758138281	0.644626253432382	8	0.355468696708313	0.562577638425175	6	0.226065546456952
"7751"	0.83921568627451	3	0.278486600432643	0.561898138043096	5	0.162583158411848	0.916698841698842	5	0.121602276760232	0.690045793429816	7	0.378595961412048
"7771"	0.815239878952204	4	0.154918965912991	0.771443107157393	6	0.27538603250911	0.513592874289998	8	0.332890121282419	0.645736286836064	8	0.312165390381755
"7816"	0.587879790460436	3	0.199496480337283	0.721138091071876	5	0.175848564515061	0.608113903207331	8	0.273742072899155	0.474674462116456	5	0.173325230025872
"8081"	0.692307692307692	1	NA	0.297297297297297	1	NA	0.643915435186782	6	0.309542528542674	0.649386311241422	8	0.207674781164435
