"Sub.Num"	"E"	"E_n"	"E_sd"	"FF"	"FF_n"	"FF_sd"	"FN"	"FN_n"	"FN_sd"	"NF"	"NF_n"	"NF_sd"	"NT"	"NT_n"	"NT_sd"
"23444"	NA	NA	NA	0.638122070581748	4	0.366508695853665	0.586528557166061	7	0.241387379924982	0.608642683177948	7	0.302163380690575	0.560162601626016	3	0.488781542604707
"5278"	NA	NA	NA	0.670116649596464	6	0.276078377588401	0.455902010955568	7	0.172423482751556	0.774692373294347	8	0.157353452956819	0.451206155714352	3	0.23487634557807
"6478"	NA	NA	NA	0.899259259259259	3	0.112553599485763	NA	NA	NA	0.610540261658628	4	0.217284819689918	0.432478632478632	2	0.234493530855026
"6685"	NA	NA	NA	0.434591480823098	8	0.320480809495896	0.746042585591974	7	0.174056930795052	0.662512398873087	8	0.322830437559495	0.650127270951193	6	0.348634885886762
"6763"	NA	NA	NA	0.553221284919616	7	0.423331551453784	0.600682640686265	7	0.235033215899872	0.351877238504585	7	0.194145413713322	0.712080423163637	6	0.319346520434385
"6800"	NA	NA	NA	0.586557416768538	3	0.217283155343198	0.447277290634134	4	0.35164003699777	0.503802963784736	6	0.247369755969312	0.15929203539823	1	NA
"6816"	NA	NA	NA	0.817150275596023	5	0.0559313660997816	0.780139732502904	7	0.116151740118657	0.673828448087562	8	0.293525789777344	0.650932301432128	6	0.203369349673554
"6829"	NA	NA	NA	0.470338983050847	2	0.353553390593274	0.620364264029429	7	0.354051750697585	0.77979466618067	3	0.117418852022728	0.792504484093269	2	0.222018045334321
"6835"	1	4	0	0.527824463118581	2	0.25920646339294	0.384622275974826	3	0.265380178158048	0.795166527021366	4	0.0282039055097962	NA	NA	NA
"6851"	NA	NA	NA	0.710541592718913	7	0.307619240026648	0.883006535947712	6	0.151052524997813	0.736870392196708	5	0.120480445458562	0.675886917960089	5	0.329002898897939
"6854"	NA	NA	NA	0.599525980407091	8	0.242674744114561	0.756183238619637	7	0.179597270060693	0.685147849462366	8	0.343658040465958	0.485382087410435	6	0.436889608959887
"6858"	NA	NA	NA	0.702274143256548	7	0.273909522411996	0.547612371003578	8	0.273979400154446	0.624608304746014	8	0.323708310172738	0.524804716285925	5	0.487443388055745
"6893"	NA	NA	NA	0.719308384733669	3	0.122572438850355	0.596221871813291	6	0.177587652107962	0.619458957453029	6	0.219323450374296	0.295936222951698	5	0.205671232681251
"6896"	1	2	0	0.447954904416971	5	0.459776993862895	0.545178312451316	7	0.26447585183649	0.407095146597747	5	0.234708131109231	0.41049293081258	3	0.227400576236764
"6915"	NA	NA	NA	0.580536130536131	4	0.10767099318797	0.542919801529427	5	0.139308705896609	0.484714485295418	4	0.280809260619919	0.301273576097106	3	0.326925214812596
"6921"	NA	NA	NA	0.660706339018277	5	0.233287370103367	0.535304659498208	7	0.244357713830934	0.73455266790824	5	0.230717891689861	0.5	2	0.707106781186548
"6950"	NA	NA	NA	0.670525326806523	5	0.299130190226035	0.682640360524072	7	0.156147690386161	0.705620833301777	5	0.246205827490043	0.526429618768328	4	0.18880295806869
"6975"	NA	NA	NA	0.654567453115547	2	0.317834445506113	0.847451199946484	5	0.116927158981572	0.816302521008403	5	0.17696251214324	0.487683598364301	4	0.201011227434119
"7001"	NA	NA	NA	0.471722627368594	7	0.306115421434948	0.504119862870358	8	0.32469050614211	0.36432280425402	7	0.273988481690021	0.419875752514201	3	0.124381969922719
"7020"	NA	NA	NA	0.431466049101309	3	0.410441118891439	0.513830421118972	6	0.356992567047005	0.472845944300512	5	0.346940608637866	0.495755269320843	2	0.283794905446943
"7040"	NA	NA	NA	0.548126154246706	7	0.371570868781566	0.569781036168133	6	0.168644742234104	0.777026566425024	7	0.109866558809031	0.853709944430898	3	0.0945531412996956
"7077"	NA	NA	NA	0.683695891012964	2	0.355340190853358	0.347893512535539	3	0.301539945098788	0.762762601328973	4	0.0727607263504867	0.863677536231884	2	0.13130153092685
"7804"	NA	NA	NA	0.84402557319224	3	0.134588766250253	0.623313168283771	7	0.22450512024837	0.78921362489487	6	0.295058708935284	0.666417967554331	4	0.467547206437554
