Time.ms,cue_type,trial_type,value_cat,experiment,m_prop_looking
233,vocalization,disambiguation,Distractor,e1,0.45614035087719296
233,vocalization,disambiguation,Distractor,e2,0.4772727272727273
233,vocalization,disambiguation,Target,e1,0.543859649122807
233,vocalization,disambiguation,Target,e2,0.5227272727272727
233,vocalization,familiar,Distractor,e1,0.4826086956521739
233,vocalization,familiar,Distractor,e2,0.47368421052631576
233,vocalization,familiar,Target,e1,0.5173913043478261
233,vocalization,familiar,Target,e2,0.5263157894736842
233,vocalization,retention,Distractor,e2,0.5774647887323944
233,vocalization,retention,Target,e2,0.4225352112676056
267,name,disambiguation,Distractor,e1,0.38636363636363635
267,name,disambiguation,Target,e1,0.6136363636363636
267,name,familiar,Distractor,e1,0.5106382978723404
267,name,familiar,Target,e1,0.48936170212765956
267,onomatopoeic,familiar,Distractor,e1,0.5126050420168067
267,onomatopoeic,familiar,Target,e1,0.48739495798319327
267,vocalization,disambiguation,Distractor,e1,0.45217391304347826
267,vocalization,disambiguation,Distractor,e2,0.4961832061068702
267,vocalization,disambiguation,Target,e1,0.5478260869565217
267,vocalization,disambiguation,Target,e2,0.5038167938931297
267,vocalization,familiar,Distractor,e1,0.48917748917748916
267,vocalization,familiar,Distractor,e2,0.4717741935483871
267,vocalization,familiar,Target,e1,0.5108225108225108
267,vocalization,familiar,Target,e2,0.5282258064516129
267,vocalization,retention,Distractor,e2,0.5833333333333334
267,vocalization,retention,Target,e2,0.4166666666666667
300,name,disambiguation,Distractor,e1,0.3888888888888889
300,name,disambiguation,Target,e1,0.6111111111111112
300,name,familiar,Distractor,e1,0.5071428571428571
300,name,familiar,Target,e1,0.4928571428571429
300,onomatopoeic,familiar,Distractor,e1,0.5169491525423728
300,onomatopoeic,familiar,Target,e1,0.4830508474576271
300,vocalization,disambiguation,Distractor,e1,0.43478260869565216
300,vocalization,disambiguation,Distractor,e2,0.4921875
300,vocalization,disambiguation,Target,e1,0.5652173913043478
300,vocalization,disambiguation,Target,e2,0.5078125
300,vocalization,familiar,Distractor,e1,0.4868421052631579
300,vocalization,familiar,Distractor,e2,0.4596774193548387
300,vocalization,familiar,Target,e1,0.5131578947368421
300,vocalization,familiar,Target,e2,0.5403225806451613
300,vocalization,retention,Distractor,e2,0.5921052631578947
300,vocalization,retention,Target,e2,0.40789473684210525
333,name,disambiguation,Distractor,e1,0.39325842696629215
333,name,disambiguation,Target,e1,0.6067415730337079
333,name,familiar,Distractor,e1,0.5036496350364964
333,name,familiar,Target,e1,0.49635036496350365
333,onomatopoeic,familiar,Distractor,e1,0.5126050420168067
333,onomatopoeic,familiar,Target,e1,0.48739495798319327
333,vocalization,disambiguation,Distractor,e1,0.4336283185840708
333,vocalization,disambiguation,Distractor,e2,0.49230769230769234
333,vocalization,disambiguation,Target,e1,0.5663716814159292
333,vocalization,disambiguation,Target,e2,0.5076923076923077
333,vocalization,familiar,Distractor,e1,0.48444444444444446
333,vocalization,familiar,Distractor,e2,0.45934959349593496
333,vocalization,familiar,Target,e1,0.5155555555555555
333,vocalization,familiar,Target,e2,0.540650406504065
333,vocalization,retention,Distractor,e2,0.5714285714285714
333,vocalization,retention,Target,e2,0.42857142857142855
367,name,disambiguation,Distractor,e1,0.4090909090909091
367,name,disambiguation,Target,e1,0.5909090909090909
367,name,familiar,Distractor,e1,0.48872180451127817
367,name,familiar,Target,e1,0.5112781954887218
367,onomatopoeic,familiar,Distractor,e1,0.5175438596491229
367,onomatopoeic,familiar,Target,e1,0.4824561403508772
367,vocalization,disambiguation,Distractor,e1,0.42857142857142855
367,vocalization,disambiguation,Distractor,e2,0.5
367,vocalization,disambiguation,Target,e1,0.5714285714285714
367,vocalization,disambiguation,Target,e2,0.5
367,vocalization,familiar,Distractor,e1,0.4864864864864865
367,vocalization,familiar,Distractor,e2,0.45901639344262296
367,vocalization,familiar,Target,e1,0.5135135135135135
367,vocalization,familiar,Target,e2,0.5409836065573771
367,vocalization,retention,Distractor,e2,0.5714285714285714
367,vocalization,retention,Target,e2,0.42857142857142855
400,name,disambiguation,Distractor,e1,0.3977272727272727
400,name,disambiguation,Target,e1,0.6022727272727273
400,name,familiar,Distractor,e1,0.48872180451127817
400,name,familiar,Target,e1,0.5112781954887218
400,onomatopoeic,familiar,Distractor,e1,0.5225225225225225
400,onomatopoeic,familiar,Target,e1,0.4774774774774775
400,vocalization,disambiguation,Distractor,e1,0.43243243243243246
400,vocalization,disambiguation,Distractor,e2,0.5
400,vocalization,disambiguation,Target,e1,0.5675675675675675
400,vocalization,disambiguation,Target,e2,0.5
400,vocalization,familiar,Distractor,e1,0.49099099099099097
400,vocalization,familiar,Distractor,e2,0.45267489711934156
400,vocalization,familiar,Target,e1,0.509009009009009
400,vocalization,familiar,Target,e2,0.5473251028806584
400,vocalization,retention,Distractor,e2,0.5584415584415584
400,vocalization,retention,Target,e2,0.44155844155844154
433,name,disambiguation,Distractor,e1,0.3977272727272727
433,name,disambiguation,Target,e1,0.6022727272727273
433,name,familiar,Distractor,e1,0.48148148148148145
433,name,familiar,Target,e1,0.5185185185185185
433,onomatopoeic,familiar,Distractor,e1,0.5181818181818182
433,onomatopoeic,familiar,Target,e1,0.4818181818181818
433,vocalization,disambiguation,Distractor,e1,0.4392523364485981
433,vocalization,disambiguation,Distractor,e2,0.4962962962962963
433,vocalization,disambiguation,Target,e1,0.5607476635514018
433,vocalization,disambiguation,Target,e2,0.5037037037037037
433,vocalization,familiar,Distractor,e1,0.48660714285714285
433,vocalization,familiar,Distractor,e2,0.4435483870967742
433,vocalization,familiar,Target,e1,0.5133928571428571
433,vocalization,familiar,Target,e2,0.5564516129032258
433,vocalization,retention,Distractor,e2,0.5394736842105263
433,vocalization,retention,Target,e2,0.4605263157894737
467,name,disambiguation,Distractor,e1,0.4111111111111111
467,name,disambiguation,Target,e1,0.5888888888888889
467,name,familiar,Distractor,e1,0.47368421052631576
467,name,familiar,Target,e1,0.5263157894736842
467,onomatopoeic,familiar,Distractor,e1,0.5045045045045045
467,onomatopoeic,familiar,Target,e1,0.4954954954954955
467,vocalization,disambiguation,Distractor,e1,0.4351851851851852
467,vocalization,disambiguation,Distractor,e2,0.49264705882352944
467,vocalization,disambiguation,Target,e1,0.5648148148148148
467,vocalization,disambiguation,Target,e2,0.5073529411764706
467,vocalization,familiar,Distractor,e1,0.4889867841409692
467,vocalization,familiar,Distractor,e2,0.4448818897637795
467,vocalization,familiar,Target,e1,0.5110132158590308
467,vocalization,familiar,Target,e2,0.5551181102362205
467,vocalization,retention,Distractor,e2,0.527027027027027
467,vocalization,retention,Target,e2,0.47297297297297297
500,name,disambiguation,Distractor,e1,0.3977272727272727
500,name,disambiguation,Target,e1,0.6022727272727273
500,name,familiar,Distractor,e1,0.4409448818897638
500,name,familiar,Target,e1,0.5590551181102362
500,onomatopoeic,familiar,Distractor,e1,0.5
500,onomatopoeic,familiar,Target,e1,0.5
500,vocalization,disambiguation,Distractor,e1,0.42727272727272725
500,vocalization,disambiguation,Distractor,e2,0.48507462686567165
500,vocalization,disambiguation,Target,e1,0.5727272727272728
500,vocalization,disambiguation,Target,e2,0.5149253731343284
500,vocalization,familiar,Distractor,e1,0.48484848484848486
500,vocalization,familiar,Distractor,e2,0.4274193548387097
500,vocalization,familiar,Target,e1,0.5151515151515151
500,vocalization,familiar,Target,e2,0.5725806451612904
500,vocalization,retention,Distractor,e2,0.5333333333333333
500,vocalization,retention,Target,e2,0.4666666666666667
533,name,disambiguation,Distractor,e1,0.3977272727272727
533,name,disambiguation,Target,e1,0.6022727272727273
533,name,familiar,Distractor,e1,0.4263565891472868
533,name,familiar,Target,e1,0.5736434108527132
533,onomatopoeic,familiar,Distractor,e1,0.49166666666666664
533,onomatopoeic,familiar,Target,e1,0.5083333333333333
533,vocalization,disambiguation,Distractor,e1,0.4424778761061947
533,vocalization,disambiguation,Distractor,e2,0.4852941176470588
533,vocalization,disambiguation,Target,e1,0.5575221238938053
533,vocalization,disambiguation,Target,e2,0.5147058823529411
533,vocalization,familiar,Distractor,e1,0.47391304347826085
533,vocalization,familiar,Distractor,e2,0.4049586776859504
533,vocalization,familiar,Target,e1,0.5260869565217391
533,vocalization,familiar,Target,e2,0.5950413223140496
533,vocalization,retention,Distractor,e2,0.5263157894736842
533,vocalization,retention,Target,e2,0.47368421052631576
567,name,disambiguation,Distractor,e1,0.3977272727272727
567,name,disambiguation,Target,e1,0.6022727272727273
567,name,familiar,Distractor,e1,0.4094488188976378
567,name,familiar,Target,e1,0.5905511811023622
567,onomatopoeic,familiar,Distractor,e1,0.4796747967479675
567,onomatopoeic,familiar,Target,e1,0.5203252032520326
567,vocalization,disambiguation,Distractor,e1,0.4375
567,vocalization,disambiguation,Distractor,e2,0.48148148148148145
567,vocalization,disambiguation,Target,e1,0.5625
567,vocalization,disambiguation,Target,e2,0.5185185185185185
567,vocalization,familiar,Distractor,e1,0.4703389830508475
567,vocalization,familiar,Distractor,e2,0.41295546558704455
567,vocalization,familiar,Target,e1,0.5296610169491526
567,vocalization,familiar,Target,e2,0.5870445344129555
567,vocalization,retention,Distractor,e2,0.5263157894736842
567,vocalization,retention,Target,e2,0.47368421052631576
600,name,disambiguation,Distractor,e1,0.38636363636363635
600,name,disambiguation,Target,e1,0.6136363636363636
600,name,familiar,Distractor,e1,0.3923076923076923
600,name,familiar,Target,e1,0.6076923076923076
600,onomatopoeic,familiar,Distractor,e1,0.45454545454545453
600,onomatopoeic,familiar,Target,e1,0.5454545454545454
600,vocalization,disambiguation,Distractor,e1,0.46226415094339623
600,vocalization,disambiguation,Distractor,e2,0.4676258992805755
600,vocalization,disambiguation,Target,e1,0.5377358490566038
600,vocalization,disambiguation,Target,e2,0.5323741007194245
600,vocalization,familiar,Distractor,e1,0.46956521739130436
600,vocalization,familiar,Distractor,e2,0.4007936507936508
600,vocalization,familiar,Target,e1,0.5304347826086957
600,vocalization,familiar,Target,e2,0.5992063492063492
600,vocalization,retention,Distractor,e2,0.5394736842105263
600,vocalization,retention,Target,e2,0.4605263157894737
633,name,disambiguation,Distractor,e1,0.37777777777777777
633,name,disambiguation,Target,e1,0.6222222222222222
633,name,familiar,Distractor,e1,0.35877862595419846
633,name,familiar,Target,e1,0.6412213740458015
633,onomatopoeic,familiar,Distractor,e1,0.45
633,onomatopoeic,familiar,Target,e1,0.55
633,vocalization,disambiguation,Distractor,e1,0.45714285714285713
633,vocalization,disambiguation,Distractor,e2,0.4632352941176471
633,vocalization,disambiguation,Target,e1,0.5428571428571428
633,vocalization,disambiguation,Target,e2,0.5367647058823529
633,vocalization,familiar,Distractor,e1,0.462882096069869
633,vocalization,familiar,Distractor,e2,0.3904382470119522
633,vocalization,familiar,Target,e1,0.537117903930131
633,vocalization,familiar,Target,e2,0.6095617529880478
633,vocalization,retention,Distractor,e2,0.5324675324675324
633,vocalization,retention,Target,e2,0.4675324675324675
667,name,disambiguation,Distractor,e1,0.367816091954023
667,name,disambiguation,Target,e1,0.632183908045977
667,name,familiar,Distractor,e1,0.3333333333333333
667,name,familiar,Target,e1,0.6666666666666666
667,onomatopoeic,familiar,Distractor,e1,0.4444444444444444
667,onomatopoeic,familiar,Target,e1,0.5555555555555556
667,vocalization,disambiguation,Distractor,e1,0.45794392523364486
667,vocalization,disambiguation,Distractor,e2,0.44776119402985076
667,vocalization,disambiguation,Target,e1,0.5420560747663551
667,vocalization,disambiguation,Target,e2,0.5522388059701493
667,vocalization,familiar,Distractor,e1,0.45614035087719296
667,vocalization,familiar,Distractor,e2,0.3665338645418327
667,vocalization,familiar,Target,e1,0.543859649122807
667,vocalization,familiar,Target,e2,0.6334661354581673
667,vocalization,retention,Distractor,e2,0.5443037974683544
667,vocalization,retention,Target,e2,0.45569620253164556
700,name,disambiguation,Distractor,e1,0.37209302325581395
700,name,disambiguation,Target,e1,0.627906976744186
700,name,familiar,Distractor,e1,0.32558139534883723
700,name,familiar,Target,e1,0.6744186046511628
700,onomatopoeic,familiar,Distractor,e1,0.42105263157894735
700,onomatopoeic,familiar,Target,e1,0.5789473684210527
700,vocalization,disambiguation,Distractor,e1,0.44954128440366975
700,vocalization,disambiguation,Distractor,e2,0.432
700,vocalization,disambiguation,Target,e1,0.5504587155963303
700,vocalization,disambiguation,Target,e2,0.568
700,vocalization,familiar,Distractor,e1,0.4557522123893805
700,vocalization,familiar,Distractor,e2,0.3548387096774194
700,vocalization,familiar,Target,e1,0.5442477876106194
700,vocalization,familiar,Target,e2,0.6451612903225806
700,vocalization,retention,Distractor,e2,0.5384615384615384
700,vocalization,retention,Target,e2,0.46153846153846156
733,name,disambiguation,Distractor,e1,0.37209302325581395
733,name,disambiguation,Target,e1,0.627906976744186
733,name,familiar,Distractor,e1,0.31851851851851853
733,name,familiar,Target,e1,0.6814814814814815
733,onomatopoeic,familiar,Distractor,e1,0.4051724137931034
733,onomatopoeic,familiar,Target,e1,0.5948275862068966
733,vocalization,disambiguation,Distractor,e1,0.4444444444444444
733,vocalization,disambiguation,Distractor,e2,0.4274193548387097
