Time.ms,cue_type,trial_type,experiment,mean,summary_ci_lower,summary_ci_upper
0,name,disambiguation,experiment_1,0,0,0
0,name,familiar,experiment_1,0,0,0
0,onomatopoeic,familiar,experiment_1,0,0,0
0,vocalization,disambiguation,experiment_1,0,0,0
0,vocalization,disambiguation,experiment_2_retention,0,0,0
0,vocalization,familiar,experiment_1,0,0,0
0,vocalization,familiar,experiment_2_retention,0,0,0
0,vocalization,retention,experiment_2_retention,0,0,0
33,name,disambiguation,experiment_1,0,0,0
33,name,familiar,experiment_1,0,0,0
33,onomatopoeic,familiar,experiment_1,0,0,0
33,vocalization,disambiguation,experiment_1,0,0,0
33,vocalization,disambiguation,experiment_2_retention,0,0,0
33,vocalization,familiar,experiment_1,0,0,0
33,vocalization,familiar,experiment_2_retention,0,0,0
33,vocalization,retention,experiment_2_retention,0,0,0
67,name,disambiguation,experiment_1,0,0,0
67,name,familiar,experiment_1,0,0,0
67,onomatopoeic,familiar,experiment_1,0,0,0
67,vocalization,disambiguation,experiment_1,0,0,0
67,vocalization,disambiguation,experiment_2_retention,0,0,0
67,vocalization,familiar,experiment_1,0,0,0
67,vocalization,familiar,experiment_2_retention,0,0,0
67,vocalization,retention,experiment_2_retention,0,0,0
100,name,disambiguation,experiment_1,0,0,0
100,name,familiar,experiment_1,0,0,0
100,onomatopoeic,familiar,experiment_1,0,0,0
100,vocalization,disambiguation,experiment_1,0,0,0
100,vocalization,disambiguation,experiment_2_retention,0,0,0
100,vocalization,familiar,experiment_1,0,0,0
100,vocalization,familiar,experiment_2_retention,0.006211180124223602,0,0.018633540372670808
100,vocalization,retention,experiment_2_retention,0,0,0
133,name,disambiguation,experiment_1,0,0,0
133,name,familiar,experiment_1,0.013888888888888888,0,0.041666666666666664
133,onomatopoeic,familiar,experiment_1,0,0,0
133,vocalization,disambiguation,experiment_1,0.011111111111111112,0,0.03333333333333333
133,vocalization,disambiguation,experiment_2_retention,0,0,0
133,vocalization,familiar,experiment_1,0,0,0
133,vocalization,familiar,experiment_2_retention,0.006211180124223602,0,0.021894409937888056
133,vocalization,retention,experiment_2_retention,0.025,0,0.075
167,name,disambiguation,experiment_1,0,0,0
167,name,familiar,experiment_1,0.04351851851851852,0,0.10004629629629624
167,onomatopoeic,familiar,experiment_1,0,0,0
167,vocalization,disambiguation,experiment_1,0.04814814814814815,0,0.0962962962962963
167,vocalization,disambiguation,experiment_2_retention,0.023809523809523808,0,0.07142857142857142
167,vocalization,familiar,experiment_1,0.017543859649122806,0,0.043859649122807015
167,vocalization,familiar,experiment_2_retention,0.017080745341614908,0,0.04503105590062112
167,vocalization,retention,experiment_2_retention,0.05,0,0.125
200,name,disambiguation,experiment_1,0.06666666666666667,0,0.2
200,name,familiar,experiment_1,0.04351851851851852,0,0.09215277777777775
200,onomatopoeic,familiar,experiment_1,0,0,0
200,vocalization,disambiguation,experiment_1,0.04814814814814815,0,0.1037037037037037
200,vocalization,disambiguation,experiment_2_retention,0.023809523809523808,0,0.07142857142857142
200,vocalization,familiar,experiment_1,0.017543859649122806,0,0.043859649122807015
200,vocalization,familiar,experiment_2_retention,0.046842650103519665,0.016304347826086956,0.08607013457556933
200,vocalization,retention,experiment_2_retention,0.075,0,0.15
233,name,disambiguation,experiment_1,0.125,0,0.3125
233,name,familiar,experiment_1,0.06496913580246913,0.013117283950617283,0.12114969135802468
233,onomatopoeic,familiar,experiment_1,0,0,0
233,vocalization,disambiguation,experiment_1,0.07592592592592592,0.018518518518518517,0.15
233,vocalization,disambiguation,experiment_2_retention,0.023809523809523808,0,0.07142857142857142
233,vocalization,familiar,experiment_1,0.043859649122807015,0.008771929824561403,0.08771929824561403
233,vocalization,familiar,experiment_2_retention,0.048291925465838506,0.017080745341614908,0.08031832298136643
233,vocalization,retention,experiment_2_retention,0.075,0,0.15
267,name,disambiguation,experiment_1,0.125,0,0.3125
267,name,familiar,experiment_1,0.06596119929453263,0.014109347442680775,0.12496913580246913
267,onomatopoeic,familiar,experiment_1,0.017543859649122806,0,0.05263157894736842
267,vocalization,disambiguation,experiment_1,0.08981481481481482,0.02962962962962963,0.17226851851851846
267,vocalization,disambiguation,experiment_2_retention,0.023809523809523808,0,0.07142857142857142
267,vocalization,familiar,experiment_1,0.06140350877192982,0.017543859649122806,0.11403508771929824
267,vocalization,familiar,experiment_2_retention,0.0656832298136646,0.026145186335403726,0.10466614906832297
267,vocalization,retention,experiment_2_retention,0.075,0,0.175
300,name,disambiguation,experiment_1,0.13541666666666666,0,0.3229166666666667
300,name,familiar,experiment_1,0.09451058201058202,0.02944940476190476,0.16335648148148135
300,onomatopoeic,familiar,experiment_1,0.02631578947368421,0,0.07894736842105263
300,vocalization,disambiguation,experiment_1,0.11296296296296296,0.03791666666666667,0.19541666666666663
300,vocalization,disambiguation,experiment_2_retention,0.023809523809523808,0,0.07142857142857142
300,vocalization,familiar,experiment_1,0.08070175438596491,0.03684210526315789,0.12456140350877193
300,vocalization,familiar,experiment_2_retention,0.10046583850931677,0.057159679089026916,0.14744435817805382
300,vocalization,retention,experiment_2_retention,0.075,0,0.175
333,name,disambiguation,experiment_1,0.13541666666666666,0,0.3125
333,name,familiar,experiment_1,0.11582633053221289,0.04246498599439777,0.19332983193277298
333,onomatopoeic,familiar,experiment_1,0.05263157894736842,0,0.13157894736842105
333,vocalization,disambiguation,experiment_1,0.11296296296296296,0.03888888888888889,0.1880092592592592
333,vocalization,disambiguation,experiment_2_retention,0.03508771929824561,0,0.10526315789473684
333,vocalization,familiar,experiment_1,0.08696741854636592,0.043859649122807015,0.13660401002506267
333,vocalization,familiar,experiment_2_retention,0.10469289164941338,0.057171325051759835,0.15106021394064872
333,vocalization,retention,experiment_2_retention,0.15,0.05,0.275
367,name,disambiguation,experiment_1,0.16666666666666666,0.020833333333333332,0.3492187499999998
367,name,familiar,experiment_1,0.12976190476190477,0.04739583333333334,0.21752604166666661
367,onomatopoeic,familiar,experiment_1,0.05263157894736842,0,0.13157894736842105
367,vocalization,disambiguation,experiment_1,0.13148148148148148,0.05740740740740741,0.21481481481481482
367,vocalization,disambiguation,experiment_2_retention,0.03508771929824561,0,0.10526315789473684
367,vocalization,familiar,experiment_1,0.08872180451127819,0.043107769423558893,0.13924185463659144
367,vocalization,familiar,experiment_2_retention,0.10590062111801242,0.06039596273291925,0.1494642857142857
367,vocalization,retention,experiment_2_retention,0.15,0.025,0.2881249999999994
400,name,disambiguation,experiment_1,0.19791666666666666,0.041666666666666664,0.39088541666666643
400,name,familiar,experiment_1,0.16889880952380953,0.07598958333333333,0.2450186011904762
400,onomatopoeic,familiar,experiment_1,0.0787037037037037,0.006597222222222241,0.17835648148148137
400,vocalization,disambiguation,experiment_1,0.12685185185185185,0.06018518518518518,0.21393518518518514
400,vocalization,disambiguation,experiment_2_retention,0.09999999999999999,0,0.21666666666666667
400,vocalization,familiar,experiment_1,0.09047619047619047,0.04035087719298246,0.1419987468671679
400,vocalization,familiar,experiment_2_retention,0.12474120082815734,0.07709627329192546,0.180667701863354
400,vocalization,retention,experiment_2_retention,0.19166666666666665,0.075,0.30833333333333335
433,name,disambiguation,experiment_1,0.2,0.05625,0.35625
433,name,familiar,experiment_1,0.20572916666666666,0.10647135416666667,0.30627604166666667
433,onomatopoeic,familiar,experiment_1,0.10648148148148148,0.027777777777777776,0.2222222222222222
433,vocalization,disambiguation,experiment_1,0.12685185185185185,0.05277777777777778,0.21296296296296297
