Sub.Num,Time.ms,cue_type,trial_type,value_cat,experiment,m_prop_looking
23444,467,vocalization,retention,Distractor,experiment_2_retention,0.6666666666666666
23444,467,vocalization,retention,Target,experiment_2_retention,0.3333333333333333
23444,500,vocalization,disambiguation,Distractor,experiment_2_retention,0.42857142857142855
23444,500,vocalization,disambiguation,Target,experiment_2_retention,0.5714285714285714
23444,500,vocalization,familiar,Distractor,experiment_2_retention,0.6363636363636364
23444,500,vocalization,familiar,Target,experiment_2_retention,0.36363636363636365
23444,500,vocalization,retention,Distractor,experiment_2_retention,0.6666666666666666
23444,500,vocalization,retention,Target,experiment_2_retention,0.3333333333333333
23444,533,vocalization,disambiguation,Distractor,experiment_2_retention,0.42857142857142855
23444,533,vocalization,disambiguation,Target,experiment_2_retention,0.5714285714285714
23444,533,vocalization,familiar,Distractor,experiment_2_retention,0.5833333333333334
23444,533,vocalization,familiar,Target,experiment_2_retention,0.4166666666666667
23444,533,vocalization,retention,Distractor,experiment_2_retention,0.6666666666666666
23444,533,vocalization,retention,Target,experiment_2_retention,0.3333333333333333
23444,567,vocalization,disambiguation,Distractor,experiment_2_retention,0.42857142857142855
23444,567,vocalization,disambiguation,Target,experiment_2_retention,0.5714285714285714
23444,567,vocalization,familiar,Distractor,experiment_2_retention,0.5833333333333334
23444,567,vocalization,familiar,Target,experiment_2_retention,0.4166666666666667
23444,567,vocalization,retention,Distractor,experiment_2_retention,0.6666666666666666
23444,567,vocalization,retention,Target,experiment_2_retention,0.3333333333333333
23444,600,vocalization,disambiguation,Distractor,experiment_2_retention,0.42857142857142855
23444,600,vocalization,disambiguation,Target,experiment_2_retention,0.5714285714285714
23444,600,vocalization,familiar,Distractor,experiment_2_retention,0.6153846153846154
23444,600,vocalization,familiar,Target,experiment_2_retention,0.38461538461538464
23444,600,vocalization,retention,Distractor,experiment_2_retention,0.6666666666666666
23444,600,vocalization,retention,Target,experiment_2_retention,0.3333333333333333
23444,633,vocalization,disambiguation,Distractor,experiment_2_retention,0.42857142857142855
23444,633,vocalization,disambiguation,Target,experiment_2_retention,0.5714285714285714
23444,633,vocalization,familiar,Distractor,experiment_2_retention,0.5833333333333334
23444,633,vocalization,familiar,Target,experiment_2_retention,0.4166666666666667
23444,633,vocalization,retention,Distractor,experiment_2_retention,0.6666666666666666
23444,633,vocalization,retention,Target,experiment_2_retention,0.3333333333333333
23444,667,vocalization,disambiguation,Distractor,experiment_2_retention,0.42857142857142855
23444,667,vocalization,disambiguation,Target,experiment_2_retention,0.5714285714285714
23444,667,vocalization,familiar,Distractor,experiment_2_retention,0.5833333333333334
23444,667,vocalization,familiar,Target,experiment_2_retention,0.4166666666666667
23444,667,vocalization,retention,Distractor,experiment_2_retention,0.6666666666666666
23444,667,vocalization,retention,Target,experiment_2_retention,0.3333333333333333
23444,700,vocalization,disambiguation,Distractor,experiment_2_retention,0.3333333333333333
23444,700,vocalization,disambiguation,Target,experiment_2_retention,0.6666666666666666
23444,700,vocalization,familiar,Distractor,experiment_2_retention,0.5
23444,700,vocalization,familiar,Target,experiment_2_retention,0.5
23444,700,vocalization,retention,Distractor,experiment_2_retention,0.5
23444,700,vocalization,retention,Target,experiment_2_retention,0.5
23444,733,vocalization,disambiguation,Distractor,experiment_2_retention,0.3333333333333333
23444,733,vocalization,disambiguation,Target,experiment_2_retention,0.6666666666666666
23444,733,vocalization,familiar,Distractor,experiment_2_retention,0.45454545454545453
23444,733,vocalization,familiar,Target,experiment_2_retention,0.5454545454545454
23444,733,vocalization,retention,Distractor,experiment_2_retention,0.5
23444,733,vocalization,retention,Target,experiment_2_retention,0.5
23444,767,vocalization,disambiguation,Distractor,experiment_2_retention,0.2
23444,767,vocalization,disambiguation,Target,experiment_2_retention,0.8
23444,767,vocalization,familiar,Distractor,experiment_2_retention,0.45454545454545453
23444,767,vocalization,familiar,Target,experiment_2_retention,0.5454545454545454
23444,767,vocalization,retention,Distractor,experiment_2_retention,0.5
23444,767,vocalization,retention,Target,experiment_2_retention,0.5
23444,800,vocalization,disambiguation,Distractor,experiment_2_retention,0.16666666666666666
23444,800,vocalization,disambiguation,Target,experiment_2_retention,0.8333333333333334
23444,800,vocalization,familiar,Distractor,experiment_2_retention,0.4166666666666667
23444,800,vocalization,familiar,Target,experiment_2_retention,0.5833333333333334
23444,800,vocalization,retention,Distractor,experiment_2_retention,0.5
23444,800,vocalization,retention,Target,experiment_2_retention,0.5
23444,833,vocalization,disambiguation,Distractor,experiment_2_retention,0.16666666666666666
23444,833,vocalization,disambiguation,Target,experiment_2_retention,0.8333333333333334
23444,833,vocalization,familiar,Distractor,experiment_2_retention,0.38461538461538464
23444,833,vocalization,familiar,Target,experiment_2_retention,0.6153846153846154
23444,833,vocalization,retention,Distractor,experiment_2_retention,0.5
23444,833,vocalization,retention,Target,experiment_2_retention,0.5
23444,867,vocalization,disambiguation,Distractor,experiment_2_retention,0.16666666666666666
23444,867,vocalization,disambiguation,Target,experiment_2_retention,0.8333333333333334
23444,867,vocalization,familiar,Distractor,experiment_2_retention,0.38461538461538464
23444,867,vocalization,familiar,Target,experiment_2_retention,0.6153846153846154
