Time.ms,Condition,value_cat,experiment,mean,ci_lower,ci_upper
300.0,name_familiar,Distractor,experiment_1,0.4752269660164397,0.3888973197854777,0.5583753417634997
300.0,name_familiar,Target,experiment_1,0.5247730339835603,0.43537183211525315,0.6160650424137266
300.0,name_novel,Distractor,experiment_1,0.349749373433584,0.23896303258145363,0.4606704260651629
300.0,name_novel,Target,experiment_1,0.6502506265664161,0.5311685463659148,0.7614254385964913
300.0,onomatopoeic_word_familiar,Distractor,experiment_1,0.51265664160401,0.41890037593984963,0.6077913533834586
300.0,onomatopoeic_word_familiar,Target,experiment_1,0.48734335839598997,0.39285087719298245,0.5904855889724311
300.0,vocalization_familiar,Distractor,experiment_1,0.48954933954933955,0.4289799400161242,0.5502321472387263
300.0,vocalization_familiar,Distractor,experiment_2_retention,0.457912618782184,0.404702812284334,0.5081800445930881
300.0,vocalization_familiar,Target,experiment_1,0.5104506604506605,0.4446400328472697,0.5752965893755367
300.0,vocalization_familiar,Target,experiment_2_retention,0.542087381217816,0.48399721956787173,0.5961306869459043
300.0,vocalization_novel,Distractor,experiment_1,0.449874686716792,0.35582706766917294,0.551390977443609
300.0,vocalization_novel,Distractor,experiment_2_retention,0.5131469979296066,0.4253752587991719,0.6105693581780537
300.0,vocalization_novel,Target,experiment_1,0.550125313283208,0.44484335839599,0.6451566416040099
300.0,vocalization_novel,Target,experiment_2_retention,0.4868530020703934,0.39048654244306413,0.5752471532091097
300.0,vocalization_retention_novel,Distractor,experiment_2_retention,0.6143939393939394,0.5318181818181819,0.7045454545454546
300.0,vocalization_retention_novel,Target,experiment_2_retention,0.3856060606060606,0.2946969696969697,0.46969696969696967
333.0,name_familiar,Distractor,experiment_1,0.4715587044534413,0.3769894688644688,0.5559023761326393
333.0,name_familiar,Target,experiment_1,0.5284412955465587,0.44146761133603235,0.6198699874686717
333.0,name_novel,Distractor,experiment_1,0.3550125313283208,0.24593045112781953,0.46229636591478696
